RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;0.63;A1>D;A;ДС Серова - АП 5(до Я.Брыля);1234567;149252;;69176,15068,15069,15070,15052,15053,15056,15057,15058,15031,15032,15947,72680,72679,16230,14991,15857,69018,15594,15595,15635,15636,15637,71807,73042,15214;;
;;;;;;;0.34;B1>D;A;Масюковщина - АП5(до Глаголева);1234567;149253;;16235,16233,133157,15240,15241,15242,15243,15244,14681,14852,15562,15587,14903,14905;;
;;;;;16499,;;0;D>B;A;D АП 5 - Масюковщина;1234567;154437;;14593,15245,15246,15259,15260,15261,15228,58358,16234,133181,16235;;
;;;;;16446,;;0.63;D1>A;A;АП 5 - ДС Серова(с Я.Брыля);1234567;149250;;71803,73043,15649,15650,15651,15570,15571,69269,14911,14912,16229,16231,71916,72681,15949,15950,15030,15047,15048,15049,15050,15051,15066,15067,69175,69176;;
29;;;;7 АП;16222,;;;A>B;A;ДС Карастояновой - ДС Кунцевщина;67;130683;;15750,15714,15713,58346,15720,15728,15731,15736,14471,15741,15218,15011,15526,15039,15040,15041,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;d1-d5 - 01.04.2015<br>d6-d7 - 01.06.2014
;;;;;16526,;;;A>B;A;Карастояновой дс - Кунцевщина дс;12345;156629;;15750,15714,15713,58346,15720,15728,15731,15736,14471,15741,15218,15011,15526,15039,15040,15041,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;
;;;;;16222,;;;B>A;A;ДС Кунцевщина - ДС Карастояновой;67;130681;;15858,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15084,15112,15113,15890,15743,58359,15740,15737,15732,15730,15719,15718,15717,15716,15715,15750;;
;;;;;16526,;;;B>A;A;Кунцевщина дс - Карастояновой дс;12345;156627;;15858,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15084,15112,15113,15890,15743,58359,15740,15737,15732,15730,15719,15718,15717,15716,15715,15750;;
;;;;;;;0;B>D;A;Кунцевщина дс - D АП 7;12345;156630;;15858,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519;;
;;;;;16222,;;0.47;B1>D;A;ДС Кунцевщина  - АП 7;67;130685;;15858,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519;;
;;;;;16526,;;0;D>B;A;D АП 7 - Кунцевщина дс;12345;156628;;54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;
30с;;;;5 АП;16499,;;;A>B;A;Корженевского - Красный Бор;1234567;154447;;71466,15056,15057,15058,15031,15032,15947,15948,14991,15595,15635,15636,15637,15638,58341,58337,14874,14875,14876,14877,14889,14890,16007;;d1-d5 - 05.03.2015<br>d6-d7 - 07.03.2015
;;;;;;;;B>A;A;Красный Бор -  Корженевского;1234567;154446;;16007,14893,15178,14870,14871,14872,14873,58335,58336,15647,15649,15650,15651,15570,15571,16255,15949,15950,15030,15047,15048,15049,15054,71466;;
;;;;;;;0;E>C;A;с Курасовщина  ДС;67;154440;;15836,71466;;
;;;;;;;0.07;B1>D;A;Красный Бор - D(подбор);12345;154449;;16007,14893,15178,15170;;
;;;;;16501,;;0.07;B1>D;A;Красный Бор - D (подбор);67;154461;;16007,14893,15178,15170;;
;;;;;16499,;;0.06;D>B1;A;D - Красный Бор;12345;154448;;14889,14890,16007;;
;;;;;16501,;;0.06;D>B1;A;D - Красный Бор (подбор);67;154460;;14889,14890,16007;;
