ID	City	Area	Street	Name	Info	Lng	Lat	Stops	StopNum	Pikas2012.11.19	osm:NodeID	osm:name:ru
15994	0	0		База Белсельстрой		27.58452	53.81407	15993,15996	s15994		561014647	База Белсельстрой
16163	0	0	Н-9034 Новый Двор  - Михановичи - Пятевщина	База Коммунальник		27.65463	53.78308	16164,16133	s16163			База Коммунальник
16164	0	0		База Коммунальник		27.65409	53.78436	16163,16162	s16164			База Коммунальник
197034	0	0	0	База Культторга		27.41477	53.84503	197066,197065,133254	s197034			База Культторга
197066	0	0	0	База Культторга		27.41498	53.84485	197034	s197066			База Культторга
14447	0	0	ул. М. Богдановича	Базисная		27.58959	53.94359	14464,14463	s14447		320719346	Базисная
14464	0	0		Базисная		27.58831	53.9429	14447,14446	s14464		320719342	Базисная
15300	0	0	0	Байкальская		27.68426	53.87137	15971,15339	s15300		342077143	Байкальская
15340	0	0	0	Байкальская		27.68238	53.86952	15970,15299,15969	s15340		342077272	Байкальская
15970	0	0	ул. Байкальская	Байкальская		27.68408	53.86994	15971,15340	s15970		343853795	Байкальская
15971	0	0		Байкальская		27.68515	53.87051	15970,15300,15322	s15971		767085048	Байкальская
14749	0	0	ул. Шабаны	Банно-оздоровительный комплекс		27.69429	53.83621	14750,73907	s14749		489464514	Банно-оздоровительный комплекс
14750	0	0		Банно-оздоровительный комплекс		27.69486	53.8363	14749,69249	s14750		489464792	Банно-оздоровительный комплекс
14917	0	0	ул. Космонавтов	Банно-оздоровительный комплекс		27.45579	53.84784	14926,14925	s14917		451718755	Банно-оздоровительный комплекс
14926	0	0		Банно-оздоровительный комплекс		27.45522	53.84723	14917,14916	s14926		767183664	Банно-оздоровительный комплекс
16062	0	0	0	Барамзиной		27.90844	53.87421	16063	s16062		2455462780	Барамзиной
14598	0	0	ул. Притыцкого	Барановщина		27.44531	53.90661	14614,14866	s14598		767183455	Барановщина
14614	0	0		Барановщина		27.44723	53.90615	14598,14880,14863	s14614		767183812	Барановщина
132109	0	0	0	Бахаровичи		27.61212	53.60898	132110,132107	s132109			Бахаровичи
132110	0	0	0	Бахаровичи		27.6122	53.60924	132109,132111	s132110			Бахаровичи
14625	0	0	0	Бачило		27.70444	53.841	14824,14783,14753	s14625		489461643	Бачило
14520	0	0	ул. Некрасова	Беды Л.		27.59082	53.93235	133353,15018,14521	s14520		320719281	Леонида Беды
15018	0	0	0	Беды Л.		27.58913	53.93253	58357,14520,14519	s15018		320719284	Леонида Беды
58357	0	0		Беды Л.		27.58917	53.93335	15018,133353,68965	s58357		320719283	Леонида Беды
133353	0	0	0	Беды Л.		27.5907	53.93313	14520,58357,133352	s133353			Леонида Беды
14417	0	0	ул. Ф. Скорины	БелавтоГАЗ		27.66188	53.9257	14631,14416	s14417		767183460	БелавтоГАЗ
14631	0	0		БелавтоГАЗ		27.66112	53.92615	14417,15427	s14631		767183552	БелавтоГАЗ
15997	0	0		БелавтоГАЗ		27.59141	53.80293	16000,73901	s15997		767184108	БелавтоГАЗ
16000	0	0		БелавтоГАЗ		27.59108	53.80377	15997,15995	s16000		767183752	БелавтоГАЗ
15025	0	0	ул. Казинца	Белая дача		27.5111	53.8526	15061,15060,73039	s15025		767088598	Белая дача
15061	0	0		Белая дача		27.51216	53.85315	15025,15024	s15061		767088585	Белая дача
14424	0	0	ул. Макаенка	Белгостелерадио		27.62799	53.92321	14425,14423,15419	s14424		767183651	Белгостелерадио
14425	0	0		Белгостелерадио		27.62766	53.92311	14424,14426	s14425		767081446	Белгостелерадио
14941	0	0	ул. Белецкого	Белецкого		27.44805	53.86266	14942,15586,15578	s14941		567706869	Белецкого
14942	0	0	0	Белецкого		27.44789	53.86203	14941,14940	s14942		320719644	Белецкого
15578	0	0	ул. Рафиева	Белецкого		27.44701	53.86323	14941,15585	s15578		567706873	Белецкого
15586	0	0		Белецкого		27.44885	53.86321	14941,15577	s15586		320719650	Белецкого
14938	0	0	0	Белецкого-6		27.46506	53.85637	14920,15592	s14938		567706845	Белецкого-6
15108	0	0	ул. Кнорина	Белинского		27.61119	53.932	15121,15017	s15108		767183696	Белинского
15121	0	0		Белинского		27.61127	53.93276	15108,15109,16203	s15121		767085094	Белинского
16203	0	0	ул. Я. Коласа	Белинского		27.60291	53.9351	16204,16205,15121	s16203			Белинского
16204	0	0		Белинского		27.60295	53.93545	16203,16202,133351	s16204			Белинского
58354	0	0	0	Белита-Витекс		27.50408	53.88474	54602,15203,15596	s58354		767183787	Белита-Витекс
15202	0	0	0	Белита-Витэкс		27.5075	53.88356	15203,200012	s15202		2735843689	Белита-Витэкс
15203	0	0	0	Белита-Витэкс		27.50788	53.8847	15202,58354,15204	s15203		567230661	Белита-Витэкс
132087	0	0	0	Белица		27.5181	53.72302	132088,197160	s132087			Белица
132088	0	0	0	Белица		27.51869	53.72338	132087,197135	s132088			Белица
197136	0	0	0	Белица		27.51848	53.71818	197160,132089	s197136			Белица
197160	0	0	0	Белица		27.51888	53.72009	197136,132087	s197160			Белица
15999	0	0		Белмагистральавтотранс~(высадка пассажиров)		27.59315	53.80046	191178,73901,15998	s15999		767184004	Белмагистральавтотранс
191178	0	0	0	Белмагистральавтотранс~(высадка пассажиров)		27.59274	53.80056	15999	s191178			Белмагистральавтотранс
73901	0	0	0	Белмагистральавтотранс~(посадка пассажиров)		27.59317	53.80082	15999,15997	s73901			Белмагистральавтотранс
15909	0	0		Белмедпрепараты		27.56946	53.88631	15905,15908	s15909		342085422	Белмедпрепараты
15125	0	0	0	Белпласт		27.51513	53.9005	15127,15128	s15125		767183746	Белпласт
15127	0	0	0	Белпласт		27.51547	53.90113	15125,230031,15126	s15127		767184049	Белпласт
230031	0	0	0	Белпласт		27.51698	53.90075	15127,54198,15931	s230031			Белпласт
15989	0	0	0	Белпроект		27.53663	53.91068	16188,16189,14527	s15989			Белпроект
16189	0	0	ул. Заславская	Белпроект		27.54241	53.9104	15114,15989,14573	s16189		767184149	Белпроект
132115	0	0	0	Бельковичи		27.64251	53.60053	132116,132117	s132115			Бельковичи
132116	0	0	0	Бельковичи		27.64259	53.60078	132115,132113	s132116			Бельковичи
15132	0	0	0	Бельского		27.48022	53.89384	15164,15589,54292	s15132		341871837	Бельского
15164	0	0	0	Бельского		27.48209	53.89353	15132,14903	s15164		767183638	Бельского
15823	0	0	ул. Козлова	Берестянская		27.58866	53.90656	15822,16114	s15823		492041220	Берестянская
15824	0	0		Берестянская		27.585	53.90797	16117,16114	s15824		767085278	Берестянская
16114	0	0	0	Берестянская		27.58813	53.90703	15823,15824	s16114			Берестянская
72155	0	0	0	Берестянская		27.5836	53.90763	191258,16117	s72155			Берестянская
14590	0	0	0	Берута		27.49907	53.91001	14684,230016	s14590		767074796	Берута
15128	0	0	0	Бетонный проезд		27.50558	53.89775	15168,15125	s15128		767183534	Бетонный проезд
15168	0	0	0	Бетонный проезд		27.50577	53.89749	15128,15167,15926	s15168		767183461	Бетонный проезд
14668	0	0	ул. Городецкая	Бизнес-центр		27.66684	53.94721	14669,133023	s14668		475199580	Бизнес-центр
14669	0	0		Бизнес-центр		27.66686	53.94653	68844,14668,14670	s14669		475199579	Бизнес-центр
68844	0	0	ул. Гинтовта	Бизнес-центр		27.66575	53.94658	14669,230026	s68844		475199581	Бизнес-центр
15221	0	0	0	Бирюзова		27.50619	53.91386	15281,15280,14535	s15221		767088405	Бирюзова
15281	0	0	0	Бирюзова		27.50624	53.91271	15221,15220	s15281		514232452	Бирюзова
16210	0	0	0	БНТУ		27.59206	53.92433	16209,15889	s16210			БНТУ
197035	0	0	0	Богатырево		27.40821	53.84347	197065,197064	s197035			Богатырево
197065	0	0	0	Богатырево		27.40866	53.84349	197035,197034	s197065			Богатырево
16209	0	0	0	Богдана Хмельницкого		27.59282	53.92501	16210,14760,14766	s16209			Богдана Хмельницкого
15234	0	0	0	Богдановича М.		27.56285	53.91668	15741,15219,15233	s15234		320719444	Максима Богдановича
15432	0	0	0	Богдановича М.		27.56498	53.91647	15740,15219,15264	s15432			Максима Богдановича
15730	0	0	0	Богдановича М.		27.56669	53.92163	14441,14468,15728	s15730		847527366	Максима Богдановича
15731	0	0	ул. В. Хоружей	Богдановича М.		27.56849	53.92087	14441,133118	s15731		320719399	Максима Богдановича
197045	0	0	0	Богушово		27.30851	53.8318	197057,197056	s197045			Богушово
197057	0	0	0	Богушово		27.3086	53.83166	197045,197043,197079	s197057			Богушово
15957	0	0	Новинки	Больница (Новинки)		27.52818	53.96293	15955,16080	41ПО		767184165	Больница (Новинки)
15105	0	0	0	Больница скорой помощи		27.53704	53.85191	15097,15099	s15105		577287612	Больница скорой помощи
15958	0	0	0	Большое Стиклево		27.69389	53.87313	16016	s15958		1484602014	Большое Стиклево
16016	0	0	0	Большое Стиклево		27.69364	53.87351	15958,15323,15321	s16016		1484602013	Большое Стиклево
14828	0	0	Могилевское шоссе	Большой Тростенец		27.70357	53.84926	16042,14745	s14828		489478575	Большой Тростенец
16042	0	0	пр. Партизанский	Большой Тростенец		27.70408	53.84862	14828,58378	s16042		489478801	Большой Тростенец
73196	0	0	0	Борисовский тракт		27.66628	53.93864	14676,14670	s73196		534401776	Борисовский тракт
16013	0	0	Логойское шоссе	Боровая		27.64501	53.96714	16039,133411	s16013			Боровая
16039	0	0		Боровая		27.64398	53.96722	16013,73668	s16039			Боровая
205174	0	0	0	Боровлянская школа №2		27.67744	53.98652	205175,205177	s205174			Боровлянская школа №2
205175	0	0	0	Боровлянская школа №2		27.67692	53.98643	205174	s205175			Боровлянская школа №2
16021	0	0		Боровляны-2		27.65812	53.98383	16038,16037	s16021			Боровляны-2
