from	to
ст. М. Академия Наук	ст. М. Академия Наук
ст. М. институт Культуры	ст. М. институт Культуры
ст. М. Каменная Горка	ст. М. Каменная Горка
ст.м. Кунцевщина	ст.м. Кунцевщина
Ст.м. Малиновка	Ст.м. Малиновка
ст. м. Михалово	ст. м. Михалово
ст.м. Могилёвская	ст.м. Могилёвская
ст.м. Московская	ст.м. Московская
ст. М. Немига	ст. М. Немига
ст. М. Октябрьская	ст. М. Октябрьская
ст. М. парк Челюскинцев	ст. М. парк Челюскинцев
ст. М. Первомайская	ст. М. Первомайская
Ст. м. Первомайская	Ст. м. Первомайская
ст.м. Пушкинская	ст.м. Пушкинская
ст. М. Уручье	ст. М. Уручье
ст.м. Фрунзенская	ст.м. Фрунзенская
ст. М. Челюскинцев	ст. М. Челюскинцев
ст. М. Я. Коласа	ст. М. Я. Коласа
ст. Минск Южный ж/д	ст. Минск Южный ж/д
Стадион «Динамо»	Стадион «Динамо»
стадион Трактор	стадион Трактор
станция Диагностики	станция Диагностики
станция метро "Грушевка"	станция метро "Грушевка"
станция метро "Тракторный завод"	станция метро "Тракторный завод"
станция Метро Московская	станция Метро Московская
Стариновская	Стариновская
Стахановская	Стахановская
Стебенева	Стебенева
Степянка (высадка пассажиров)	Степянка (высадка пассажиров)
Степянка (посадка пассажиров)	Степянка (посадка пассажиров)
Стиклево	Стиклево
Столетова	Столетова
Строительно-выставочный комплекс	Строительно-выставочный комплекс
стройматериалы магазин	стройматериалы магазин
Сурганова	Сурганова
Сухарево-2	Сухарево-2
Сухарево-3	Сухарево-3
Сухарево-4 микрорайон	Сухарево-4 микрорайон
Сухарево-5	Сухарево-5
Сухарево-6	Сухарево-6
Сухаревская	Сухаревская
Сухаревская, 17	Сухаревская, 17
Сухорево-4 микрорайон	Сухорево-4 микрорайон
Таллинн универсам	Таллинн универсам
Танковая	Танковая
Ташкенский проезд	Ташкенский проезд
Ташкентская	Ташкентская
ТД Уручье	ТД Уручье
техникум	техникум
Технологическая	Технологическая
Технологический Университет	Технологический Университет
Тимошенко	Тимошенко
Тиражная	Тиражная
Товарная	Товарная
Товарная ст.	Товарная ст.
Толстого	Толстого
Тонкосуконный комбинат	Тонкосуконный комбинат
Торговый колледж	Торговый колледж
Торговый центр	Торговый центр
Торговый Центр	Торговый Центр
Торговый Центр "Кирмаш"	Торговый Центр "Кирмаш"
Торговый центр «Кирмаш»	Торговый центр «Кирмаш»
Торговый Центр «Кирмаш»	Торговый Центр «Кирмаш»
Транзистор Завод	Транзистор Завод
Транспортная	Транспортная
Трикотажная фабрика	Трикотажная фабрика
Троллейбусное кольцо	Троллейбусное кольцо
Троллейбусный парк	Троллейбусный парк
ТЦ Ома	ТЦ Ома
ТЭЦ-3	ТЭЦ-3
Уборевича	Уборевича
Уборевича ул., 40	Уборевича ул., 40
ул. Аэродромная	ул. Аэродромная
ул. Бачило	ул. Бачило
ул. Берута	ул. Берута
ул. Бумажкова	ул. Бумажкова
ул. Грицевца	ул. Грицевца
ул. Каруся Каганца	ул. Каруся Каганца
ул. Лидская	ул. Лидская
ул. Минина	ул. Минина
ул. Наполеона Орды	ул. Наполеона Орды
ул. Неманская	ул. Неманская
ул. Основателей	ул. Основателей
ул. П. Бровки	ул. П. Бровки
ул. П. Глебки	ул. П. Глебки
ул. П. Глебки, 120	ул. П. Глебки, 120
ул. Панфилова	ул. Панфилова
ул. Панченко Пимена	ул. Панченко Пимена
ул. Семашко, 14	ул. Семашко, 14
ул. Холмогорская	ул. Холмогорская
ул. Чижевских	ул. Чижевских
ул. Шпилевского	ул. Шпилевского
ул. Я. Дроздовича	ул. Я. Дроздовича
ул. Я. Лучины	ул. Я. Лучины
ул. Яна Чачота	ул. Яна Чачота
ул. Яна Чечота	ул. Яна Чечота
улица Аннаева	улица Аннаева
улица Асаналиева	улица Асаналиева
улица Бабушкина	улица Бабушкина
улица Белинского	улица Белинского
улица Бельского	улица Бельского
улица Бирюзова	улица Бирюзова
улица Будённого	улица Будённого
улица Бурдейного	улица Бурдейного
улица Васнецова	улица Васнецова
улица Ваупшасова	улица Ваупшасова
улица Володарского	улица Володарского
улица Гамарника	улица Гамарника
улица Гашкевича	улица Гашкевича
улица Гая	улица Гая
улица Гикало	улица Гикало
улица Глаголева	улица Глаголева
улица Голодеда	улица Голодеда
улица Горецкого	улица Горецкого
улица Горовца	улица Горовца
улица Грекова	улица Грекова
улица Гурского	улица Гурского
улица Игнатенко	улица Игнатенко
улица Кабушкина	улица Кабушкина
улица Казинца	улица Казинца
улица Калинина	улица Калинина
улица Калиновского	улица Калиновского
улица Карбышева	улица Карбышева
улица Кедышко	улица Кедышко
улица Козлова	улица Козлова
улица Корицкого	улица Корицкого
улица Короткевича	улица Короткевича
улица Кропоткина	улица Кропоткина
улица Крупской	улица Крупской
улица Куйбышева	улица Куйбышева
улица Кулешова	улица Кулешова
улица Курчатова	улица Курчатова
улица Ландера	улица Ландера
Улица Ландера	Улица Ландера
улица Ленина	улица Ленина
улица Леси Украинки	улица Леси Украинки
улица Лещинского	улица Лещинского
улица Лобанка	улица Лобанка
улица Лынькова	улица Лынькова
улица Льва Сопеги	улица Льва Сопеги
улица Мазурова	улица Мазурова
улица Макаёнка	улица Макаёнка
улица Матусевича	улица Матусевича
улица Машиностроителей	улица Машиностроителей
улица Маяковского	улица Маяковского
улица Менделеева	улица Менделеева
улица Натуралистов	улица Натуралистов
улица Одоевского	улица Одоевского
улица Ольшевского	улица Ольшевского
улица Осипенко	улица Осипенко
улица Папанина	улица Папанина
улица Платонова	улица Платонова
улица Пономарёва	улица Пономарёва
улица Притыцкого	улица Притыцкого
улица Разинская	улица Разинская
